"08/30/2023","2000.00","*","","ONLINE PAYMENT"
"08/30/2023","-10.03","*","","UTD CFA CAFE"
"08/30/2023","-27.06","*","","SQ *COMMUNION COFFEE SHOP"
"08/30/2023","-22.28","*","","SMOKE DEPOT"
"08/29/2023","-9.41","*","","MCDONALD'S F33269"
"08/28/2023","-6.22","*","","TARGET 00017756"
"08/27/2023","-93.09","*","","PAYPAL *MCGRAWHILLG"
"08/26/2023","-49.29","*","","KROGER #0526"
"08/26/2023","-187.11","*","","LENSCRAFTERS 1061"
"08/25/2023","700.00","*","","ONLINE PAYMENT"
"08/25/2023","-59.88","*","","QT 919"
"08/25/2023","-3.24","*","","QT 919"
"08/25/2023","-373.44","*","","MICRO CENTER"
"08/23/2023","-292.26","*","","MICRO CENTER"
"08/23/2023","-67.91","*","","KROGER #0526"
"08/22/2023","-141.47","*","","THE HOME DEPOT #0598"
"08/22/2023","-17.31","*","","TOBACCO HUT"
"08/21/2023","-150.73","*","","MICRO CENTER"
"08/21/2023","-22.72","*","","VICE CITY"
"08/21/2023","-168.00","*","","GITHUB"
"08/20/2023","-56.11","*","","TARGET 00014894"
"08/20/2023","-0.17","*","","OFFICE DEPOT #2386"
"08/20/2023","-157.95","*","","MOVINGHELP.COM"
"08/19/2023","-128.82","*","","DOUBLETREE HOTELS"
"08/19/2023","-60.30","*","","QT 960"
"08/19/2023","-14.43","*","","SQ *COMMUNION COFFEE SHOP"
"08/19/2023","-465.31","*","","KROGER #0526"
"08/19/2023","-11.42","*","","CHICK-FIL-A # 01491"
"08/19/2023","-542.41","*","","TARGET 00014308"
"08/16/2023","648.71","*","","ONLINE PAYMENT THANK YOU"
"08/16/2023","-10.52","*","","DOUBLETREE HOTELS RICHARDSON TX"
"08/16/2023","-16.63","*","","CAFE BRAZIL DEEP ELLUM DALLAS TX"
"08/16/2023","-1515.49","*","","MICRO CENTER DALLAS TX"
"08/16/2023","-30.00","*","","THE BALCONY CLUB DALLAS TX"
